year,genero,tengo_edad,Dónde estás trabajando,Años de experiencia,antiguedad_en_la_empresa_actual,Años en el puesto actual,cuantas_personas_tenes_a_cargo,maximo_nivel_de_estudios,estado,carrera,Trabajo de,dedicacion,ultimo_salario_mensual_o_retiro_bruto_en_pesos_argentinos,ultimo_salario_mensual_o_retiro_neto_en_pesos_argentinos,¿Qué tan conforme estás con tus ingresos laborales?,recibio_actualizacion_de_ingresos,¿De qué % fue el ajuste total acumulado?,recibis_algun_tipo_de_bono,a_que_esta_atado_el_bono,Cantidad de personas en tu organización,¿La recomendás como un buen lugar para trabajar?,contas_con_beneficios_adicionales,si_tu_sueldo_esta_dolarizado_cual_fue_el_ultimo_valor_del_dolar_que_tomaron,Modalidad de trabajo,Si trabajas bajo un esquema híbrido ¿Cuántos días a la semana vas a la oficina?,que_tanto_estas_usando_copilotchatgpt_u_otras_herramientas_de_ia_para_tu_trabajo,estas_buscando_trabajo,seniority,sueldo_bruto_en_dolares,sueldo_neto_en_dolares,source_file,estudios_estado,carrera_categoria
2024,Hombre Cis,21,Centro,6,4,2,0.0,Secundario,Completo,Técnique Secundario en Programación,Infraestructura y Operaciones,Full-Time,2183000,2000000,3,Uno,13,No,No recibo bono,De 201 a 500 personas,10,"Comidas pagas / subvencionadas, Horarios flexibles",1080,100% remoto,0,2,"No, estoy muy conforme.",Senior,2021,1852,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,menor_a_universitario,IT_TECNICATURA_BOOTCAMP
2024,Hombre Cis,36,Buenos Aires,16,3,6,0.0,,,,Desarrollo e Ingeniería,Full-Time,5400000,5400000,2,No,0,No,No recibo bono,De 201 a 500 personas,6,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Horarios flexibles",1050,100% remoto,0,4,"Sí, estoy buscando activamente.",Senior,5143,5143,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,,
2024,Hombre Cis,43,Buenos Aires,2,1,1,0.0,Terciario,Completo,Tecnicatura Electrónica,Desarrollo e Ingeniería,Part-Time,550000,550000,3,No,0,No,No recibo bono,De 2 a 10 personas,10,Capacitaciones y/o cursos,987,100% remoto,0,5,"No, pero escucho ofertas.",Junior,557,557,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,menor_a_universitario,IT_TECNICATURA_BOOTCAMP
2024,Mujer Cis,31,Capital,11,2,2,4.0,Universitario,Incompleto,Diseño Multimedial,Desarrollo e Ingeniería,Full-Time,11000000,9790000,3,No,0,Un sueldo,Performance de la compañía,De 51 a 100 personas,7,"Descuento en gimnasios / Clases de gimnasia online, Licencia por nacimiento extendida, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",987,Híbrido (presencial y remoto),0,3,"No, pero escucho ofertas.",Senior,11145,9919,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,universitario completo,NO_IT
2024,Hombre Cis,35,Capital,10,0,0,3.0,Universitario,En curso,Derecho,Desarrollo e Ingeniería,Full-Time,2200000,2000000,3,No,0,No,No recibo bono,Más de 10000 personas,7,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Comidas pagas / subvencionadas, Horarios flexibles, Licencia por nacimiento extendida, Stock options / RSUs",1300,Híbrido (presencial y remoto),1,1,"No, pero escucho ofertas.",Senior,1692,1538,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,universitario incompleto_encurso,NO_IT
2024,Hombre Cis,26,Buenos Aires,1,0,0,0.0,Universitario,En curso,Medicina,Desarrollo e Ingeniería,Full-Time,1345321,1123433,2,Más de tres,70,De uno a tres sueldos,Mix de las anteriores,Más de 10000 personas,3,"Capacitaciones y/o cursos, Comidas pagas / subvencionadas, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",998,Híbrido (presencial y remoto),1,3,"Sí, estoy buscando activamente.",Junior,1348,1126,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,universitario incompleto_encurso,NO_IT
2024,Hombre Cis,33,Resto del país,7,1,3,0.0,,,,Desarrollo e Ingeniería,Full-Time,3600000,3000000,4,No,0,No,No recibo bono,De 101 a 200 personas,9,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos",856,100% remoto,0,2,"No, pero escucho ofertas.",Senior,4206,3505,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,,
2024,Mujer Cis,40,Centro,8,3,1,0.0,Terciario,Completo,Diseño Gráfico,Diseño y Experiencia de Usuario,Full-Time,1560200,1505436,3,No,0,No,No recibo bono,De 5001 a 10000 personas,0,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",987,100% remoto,0,2,"Sí, estoy buscando activamente.",Senior,1581,1525,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,menor_a_universitario,NO_IT
2024,Hombre Cis,47,Buenos Aires,20,10,5,10.0,Universitario,Incompleto,Licenciatura en Filosofía,Gestión y Consultoría,Full-Time,8750000,8250000,3,No,0,Un sueldo,Performance grupal,De 201 a 500 personas,9,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",987,100% remoto,0,1,"No, pero escucho ofertas.",Senior,8865,8359,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,universitario completo,IT_LICENCIATURA
2024,Hombre Cis,44,Capital,20,0,3,0.0,Doctorado,Incompleto,Ingeniería en Informática,Desarrollo e Ingeniería,Full-Time,3300000,3000000,3,Uno,1,No,No recibo bono,De 201 a 500 personas,10,"Capacitaciones y/o cursos, Clases de idiomas, Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",987,100% remoto,0,5,"No, pero escucho ofertas.",Senior,3343,3040,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,mayor_a_universitario,IT_INGENIERIA
2024,Hombre Cis,44,Capital,23,2,2,0.0,Terciario,Completo,Analista de Sistemas,Infraestructura y Operaciones,Full-Time,3632920,2867276,4,No,0,No,No recibo bono,De 101 a 200 personas,8,"Abono de celular, Comidas pagas / subvencionadas, Descuentos varios (Clarín 365, Club La Nación, etc), Estacionamiento gratuito / subvencionado, Horarios flexibles, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",987,100% remoto,0,0,"No, estoy muy conforme.",Senior,3681,2905,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,menor_a_universitario,IT_TECNICATURA_BOOTCAMP
2024,Hombre Cis,30,Capital,7,7,1,0.0,,,,Desarrollo e Ingeniería,Part-Time,930000,821000,3,Más de tres,83,No,No recibo bono,De 11  a 50  personas,10,"Abono de Internet, Comidas pagas / subvencionadas, Estacionamiento gratuito / subvencionado, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",987,100% presencial,0,5,"No, estoy muy conforme.",Senior,942,832,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,,
2024,Hombre Cis,22,Resto del país,2,1,2,0.0,,,,Desarrollo e Ingeniería,Full-Time,830000,720000,2,Uno,20,3+ sueldos,Performance de la compañía,De 51 a 100 personas,0,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles",987,100% remoto,0,4,"Sí, estoy buscando activamente.",Junior,841,729,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,,
2024,Hombre Cis,37,Capital,14,2,2,1.0,Universitario,Completo,Licenciatura en Sistemas,Gestión y Consultoría,Full-Time,2107600,1700000,3,Tres,83,De uno a tres sueldos,Mix de las anteriores,Más de 10000 personas,8,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles, Lactario en la oficina, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Vacaciones flexibles (adicionales a las reglamentarias)",890,Híbrido (presencial y remoto),1,2,"No, pero escucho ofertas.",Senior,2368,1910,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,universitario completo,IT_LICENCIATURA
2024,Hombre Cis,26,Capital,4,0,0,0.0,Universitario,En curso,Licenciatura en Ciencia de Datos,Desarrollo e Ingeniería,Part-Time,1300000,1300000,4,No,0,No,No recibo bono,De 5001 a 10000 personas,8,"Capacitaciones y/o cursos, Horarios flexibles, Sueldo dividido en dos pagos por mes, Vacaciones flexibles (adicionales a las reglamentarias)",987,100% remoto,0,5,"No, estoy muy conforme.",Semi-Senior,1317,1317,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,universitario incompleto_encurso,IT_LICENCIATURA
2024,Mujer Cis,26,Capital,2,2,2,3.0,Universitario,Incompleto,Ingeniería Química,Desarrollo e Ingeniería,Full-Time,1000000,1000000,2,No,0,No,No recibo bono,De 2 a 10 personas,10,"Capacitaciones y/o cursos, Horarios flexibles",987,100% remoto,0,3,"Sí, estoy buscando activamente.",Junior,1013,1013,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,universitario completo,IT_INGENIERIA
2024,Hombre Cis,46,Centro,20,2,2,1.0,,,,Infraestructura y Operaciones,Full-Time,5500000,4200000,2,Dos,10,3+ sueldos,Performance individual,De 11  a 50  personas,3,"Estacionamiento gratuito / subvencionado, Horarios flexibles",930,Híbrido (presencial y remoto),2,5,"Sí, estoy buscando activamente.",Senior,5914,4516,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,,
2024,Mujer Cis,28,Buenos Aires,3,3,1,0.0,Universitario,En curso,Tecnicatura Superior en Programación,Desarrollo e Ingeniería,Full-Time,794705,500664,1,Tres,49,Un sueldo,Mix de las anteriores,De 501 a 1000 personas,8,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá)",987,100% remoto,0,3,"No, pero escucho ofertas.",Semi-Senior,805,507,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,universitario incompleto_encurso,IT_TECNICATURA_BOOTCAMP
2024,Hombre Cis,41,Centro,17,6,3,1.0,,,,QA y Seguridad,Full-Time,3533000,3200000,3,Uno,10,No,No recibo bono,De 101 a 200 personas,7,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Guardería o pago para cubrir costo de guardería, Stock options / RSUs",847,Híbrido (presencial y remoto),1,2,"No, pero escucho ofertas.",Senior,4171,3778,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,,
2024,Hombre Cis,26,Resto del país,3,3,1,9.0,Terciario,Incompleto,Tecnicatura Superior en Programación,Desarrollo e Ingeniería,Full-Time,928200,928200,1,Más de tres,110,Un sueldo,Nada,De 11  a 50  personas,2,Clases de idiomas,987,100% remoto,0,2,"No, pero escucho ofertas.",Semi-Senior,940,940,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,menor_a_universitario,IT_TECNICATURA_BOOTCAMP
2024,Hombre Cis,36,Buenos Aires,4,1,3,3.0,Universitario,Completo,Analista Programador Universitario,Desarrollo e Ingeniería,Full-Time,1300000,1000000,1,Uno,10,No,Mix de las anteriores,De 501 a 1000 personas,7,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas",900,100% remoto,0,2,"Sí, estoy buscando activamente.",Semi-Senior,1444,1111,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,universitario completo,IT_TECNICATURA_BOOTCAMP
2024,Hombre Cis,40,Buenos Aires,15,2,1,1.0,Universitario,Completo,Licenciatura en Administración de Empresas,QA y Seguridad,Full-Time,5000000,5000000,4,Uno,20,Un sueldo,aguinaldo,De 201 a 500 personas,10,"Capacitaciones y/o cursos, Horarios flexibles",1000,100% remoto,1,1,"No, pero escucho ofertas.",Senior,5000,5000,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,universitario completo,IT_LICENCIATURA
2024,Hombre Cis,25,Capital,4,2,2,1.0,Universitario,En curso,Ingeniería en Informática,Desarrollo e Ingeniería,Full-Time,1750000,1506000,3,Dos,50,No,No recibo bono,De 11  a 50  personas,9,"Abono de Internet, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",860,100% remoto,0,5,"No, estoy muy conforme.",Semi-Senior,2035,1751,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,universitario incompleto_encurso,IT_INGENIERIA
2024,Hombre Cis,24,Centro,2,2,2,0.0,,,,Desarrollo e Ingeniería,Full-Time,1300000,1100000,2,Uno,55,No,No recibo bono,De 101 a 200 personas,1,"Abono de Internet, Capacitaciones y/o cursos, Horarios flexibles",987,100% remoto,0,2,"No, pero escucho ofertas.",Junior,1317,1114,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,,
2024,Hombre Cis,32,Resto del país,5,0,1,0.0,Universitario,Completo,Licenciatura en Ciencias de la Computación,Desarrollo e Ingeniería,Full-Time,3600000,3600000,3,Dos,20,De uno a tres sueldos,Mix de las anteriores,Más de 10000 personas,8,"Capacitaciones y/o cursos, Comidas pagas / subvencionadas, Descuentos varios (Clarín 365, Club La Nación, etc), Estacionamiento gratuito / subvencionado, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",1030,100% remoto,0,4,"No, estoy muy conforme.",Semi-Senior,3495,3495,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,universitario completo,IT_LICENCIATURA
2024,Hombre Cis,28,Resto del país,3,2,2,0.0,Terciario,Completo,Analista de Sistemas,Desarrollo e Ingeniería,Full-Time,842000,824000,2,Uno,40,No,No recibo bono,De 51 a 100 personas,8,Ninguna de las anteriores,987,100% remoto,0,1,"No, pero escucho ofertas.",Semi-Senior,853,835,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,menor_a_universitario,IT_TECNICATURA_BOOTCAMP
2024,Hombre Cis,28,Resto del país,3,2,2,0.0,,,,Desarrollo e Ingeniería,Full-Time,701000,582000,1,Dos,27,No,No recibo bono,De 11  a 50  personas,0,"Capacitaciones y/o cursos, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",930,Híbrido (presencial y remoto),1,1,"Sí, estoy buscando activamente.",Semi-Senior,754,626,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,,
2024,Hombre Cis,25,Buenos Aires,3,3,3,0.0,,,,Desarrollo e Ingeniería,Full-Time,900000,900000,3,Dos,40,De uno a tres sueldos,Performance individual,Más de 10000 personas,8,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Descuentos varios (Clarín 365, Club La Nación, etc), Sueldo dividido en dos pagos por mes, Vacaciones flexibles (adicionales a las reglamentarias)",987,100% remoto,0,4,"No, pero escucho ofertas.",Semi-Senior,912,912,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,,
2024,Mujer Cis,32,Capital,3,0,0,0.0,,,,Infraestructura y Operaciones,Full-Time,2500000,2000000,3,No,0,No,No recibo bono,De 201 a 500 personas,4,"Horarios flexibles, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",1275,Híbrido (presencial y remoto),0,5,"Sí, estoy buscando activamente.",Semi-Senior,1961,1569,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,,
2024,Hombre Cis,33,Centro,2,0,0,0.0,Universitario,Incompleto,Licenciatura en Ciencia de Datos,Datos y Analítica,Full-Time,1300000,1300000,3,No,0,No,No recibo bono,De 11  a 50  personas,7,"Capacitaciones y/o cursos, Clases de idiomas",987,100% remoto,0,3,"No, pero escucho ofertas.",Junior,1317,1317,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,universitario completo,IT_LICENCIATURA
2024,Hombre Cis,24,Resto del país,2,1,0,0.0,Universitario,Incompleto,Licenciatura en Sistemas,Otros / No IT,Full-Time,890000,890000,2,Uno,52,No,No recibo bono,De 11  a 50  personas,8,"Capacitaciones y/o cursos, Horarios flexibles",987,100% remoto,0,4,"No, pero escucho ofertas.",Junior,902,902,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,universitario completo,IT_LICENCIATURA
2024,Hombre Cis,28,Capital,4,1,1,0.0,Secundario,Completo,Perito mercantil,Desarrollo e Ingeniería,Full-Time,1070550,915000,2,Dos,52,Menos de un sueldo,Mix de las anteriores,De 11  a 50  personas,3,"Capacitaciones y/o cursos, Descuentos varios (Clarín 365, Club La Nación, etc), Hasta 3 días libres al año ",1010,Híbrido (presencial y remoto),1,3,"Sí, estoy buscando activamente.",Semi-Senior,1060,906,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,menor_a_universitario,NO_IT
2024,Hombre Cis,25,Capital,2,2,2,0.0,,,,Desarrollo e Ingeniería,Full-Time,1500000,1300000,2,No,0,No,No recibo bono,De 2001a 5000 personas,6,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas",920 (el oficial),100% presencial,5,0,"No, pero escucho ofertas.",Junior,1630,1413,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,,
2024,Hombre Cis,37,Centro,3,3,1,0.0,Universitario,Incompleto,Bioquímica,Desarrollo e Ingeniería,Full-Time,2100000,2100000,4,Dos,75,No,No recibo bono,De 101 a 200 personas,8,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas",987,Híbrido (presencial y remoto),2,3,"No, pero escucho ofertas.",Semi-Senior,2128,2128,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,universitario completo,NO_IT
2024,Hombre Cis,28,Resto del país,1,1,1,0.0,,,,Desarrollo e Ingeniería,Full-Time,810000,695000,1,Tres,55,No,No recibo bono,De 2 a 10 personas,1,"Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas",987,Híbrido (presencial y remoto),3,5,"Sí, estoy buscando activamente.",Junior,821,704,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,,
2024,Hombre Cis,26,Capital,3,3,3,0.0,Universitario,En curso,Ingeniería en Informática,Desarrollo e Ingeniería,Full-Time,5000000,4200000,4,No,0,Un sueldo,Performance individual,De 2001a 5000 personas,10,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Cuota para universidad / posgrados, Estacionamiento gratuito / subvencionado, Lactario en la oficina, Licencia por nacimiento extendida, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",860,100% remoto,0,2,"No, estoy muy conforme.",Semi-Senior,5814,4884,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,universitario incompleto_encurso,IT_INGENIERIA
2024,Mujer Cis,33,Buenos Aires,12,2,2,0.0,,,,QA y Seguridad,Full-Time,945000,617000,2,Uno,69,No,No recibo bono,De 2001a 5000 personas,7,"Abono de Internet, Estacionamiento gratuito / subvencionado",987,100% remoto,0,1,"No, pero escucho ofertas.",Senior,957,625,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,,
2024,Hombre Cis,24,Capital,0,0,0,0.0,Universitario,En curso,Ingeniería en Sistemas,Desarrollo e Ingeniería,Full-Time,290000,240000,2,Dos,35,No,No recibo bono,De 2001a 5000 personas,8,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas",987,Híbrido (presencial y remoto),1,3,"No, pero escucho ofertas.",Junior,294,243,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,universitario incompleto_encurso,IT_INGENIERIA
2024,Hombre Cis,23,Capital,4,2,2,0.0,Universitario,En curso,Licenciatura en Ciencias de la Computación,Desarrollo e Ingeniería,Full-Time,5500000,4000000,4,Dos,82,No,No recibo bono,De 201 a 500 personas,0,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Vacaciones flexibles (adicionales a las reglamentarias)",1060,100% remoto,0,2,"No, estoy muy conforme.",Semi-Senior,5189,3774,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,universitario incompleto_encurso,IT_LICENCIATURA
